"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
592,SS1131P,8850010000000,"SS1131P Colgate Toothpaste Regular 37g x1",,,,,pc,food
593,SS1447P,4803930000000,"SS1447P Pepsi in can 320mL x1",,,,,pc,food
595,SS0944P,4800110000000,"SS0944P White King Fiesta Elbow Macaroni 400g x1",,,,,pc,food
597,P1024P,4807770000000,"P1024P Lucky Me Instant Pancit Canton Chili-Mansi 80g x1",,,,,pc,food
598,SS1115P,748486000000,"SS1115P 555 Tuna Afritada 155g x1",,,,,pc,food
599,P1464P,8801060000000,"P1464P Nescafe Gold Blend 50g x1",,,,,pc,food
600,SS0998P,4807770000000,"SS0998P Nissin Wafer Chocolate 12g x20",,,,,pc,food
602,04898P,04898P,"04898P Storage Box 20L x1",,,,,pc,food
603,P0882P,4808680000000,"P0882P Best Foods Real Mayonnaise Mayo Magic Pouch 220mL x1",,,,,pc,food
604,P2430P,4800040000000,"P2430P Fibisco Choco Chip Cookies 400g x1",,,,,pc,food
606,SS1671P,4806530000000,"SS1671P Rite 'n Lite Peach in can 250mL x1",,,,,btl,food
607,P1859P,P1859P,"P1859P Cleanaide Microfiber Green x1",316,50,pc,1.00,case,non_food
608,P1556P,7177118563,"P1556P Twinings Lemon & Ginger Tea 1.5g x25",,,,,pc,food
609,P1263P,4806501705040,"P1263P Champion Supra Clean Detergent Powder 800g x1",223,1,pc,17.00,pc,non_food
610,FE133P,FE133P,"FE133P Generic Mop Squeezer Side Press x1",7,1,pc,1.00,pc,non_food
611,1576P,4800067600405,"1576P Albatross Sampaguita Refill 100g x1",391,12,pc,3.00,case,non_food
612,P2393P,,"P2393P Downy Premium Parfum Passion 750mL x1",139,8,pc,2.00,case,non_food
613,SS0173P,4800020000000,"SS0173P Jack 'n Jill Chippy BBQ 110g x1",,,,,pc,food
614,MH127P,8850175020479,"MH127P Glade Scented Gel Sakura & Waterlily 180g x1",133,12,,1.00,case,non_food
615,P0795P,4800067601846,"P0795P Gleam Liquid Sosa 500mL x1",125,24,pc,1.00,case,non_food
616,2107P,4800047840265,"2107P Zonrox Bleach Lemon Scent 1L x1",504,24,pc,2.00,case,non_food
617,SS1169P,4800047841422,"SS1169P Del Fabric Softener Lavender Breeze 1000mL x1",139,12,pc,1.00,case,non_food
618,FE157P,FE157P,"FE157P Plastic Stirrer x1000",111,1,pc,9.00,pc,non_food
619,SS1254P,4800020000000,"SS1254P Calbee Potato Chips Honey Butter 170g x1",,,,,pc,food
620,0511P,4800020000000,"0511P Nissin Cup Noodles Beef 60g x1",,,,,pc,food
621,P2186P,4800270000000,"P2186P Quaker Cookies Honey Nuts 27g x1",,,,,pc,food
622,SS0910P,4800010000000,"SS0910P Absolute Water 350mL x1",,,,,pc,food
623,FE211P,FE211P,"FE211P Car Shampoo Gallon x1",91,4,pc,2.00,case,non_food
624,SS0880P,4800010000000,"SS0880P Cloud 9 Chocolate 28g x1",,,,,pc,food
625,SS0008P,4800020000000,"SS0008P Nissin Cup Noodles Beef Mini 40g x1",,,,,pc,food
626,GR127P,01593100630589451024G0337391,"GR127P Scotch-Brite 96 GP Scouring Pad 6"" x 9"" x1",488,50,pc,1.00,case,non_food
627,SS1061P,4800020000000,"SS1061P Del Monte Elbow Macaroni 1kg",,,,,pc,food
628,Y0321P,Y0321P,"Y0321P Kitchen Towel 2 ply x 85 170 sheets x1",552,24,pc,2.00,case,non_food
629,SS1147P,4800030000000,"SS1147P Ideal Gourmet Lasagna 454g x1",,,,,pc,food
630,P0757P,4800020000000,"Del Monte Pasta 900g + Del Monte Sweet Spaghetti Sauce 1kg x1",,,,,pc,food
631,SF0107P,SF0107P,"SF0107P Garbage Bag Small Clear 18"" x 18"" x .001 x1",13100,100,pc,10.00,case,non_food
632,SS0927P,4801980000000,"SS0927P Wilkins Mineral Water 330mL x1",,,,,pc,food
634,TM0104P,TM0104P,"TM0104P Diversey Snapback Floor Restorer 5L x1",8,1,pc,1.00,pc,non_food
635,FE298P,FE298P,"FE298P Push Brush with Plastic Handle x1",138,1,pc,11.00,pc,non_food
637,GR138P,4800314009692,"GR138P 3M Scotch Brite Scrub Sponge Mini 75mm x 75mm x 30mm x1",576,1,pc,44.00,pc,non_food
639,1644P,1644P,"1644P Broom Stick x1",746,1,pc,56.00,pc,non_food
640,FE052P,FE052P,"FE052P Liquid Declogger Gallon x1",68,4,pc,2.00,case,non_food
641,P0312P,731126000000,"P0312P Nagaraya Original 160g x1",,,,,pc,food
642,SS1246P,8886470000000,"SS1246P Pringles Original 134g x1",,,,,pc,food
645,0471-INP,0471-INP,"0471-INP IN House Calypso 7 x 12 0.0004 no print x1",,,,,pc,food
646,VA001P,4806013230016,"VA001P Glad Cling Wrap 30m x 30cm x1",142,24,pc,1.00,case,non_food
647,P2395P,4801980000000,"P2395P Coke Zero 1.5L x1",,,,,pc,food
648,FE088P,FE088P,"FE088P Degreaser Gallon x1",98,1,pc,8.00,pc,non_food
649,P1665P,4800888112965,"P1665P Domex Multi-Purpose Cleaner Classic 500ml Blue Bottle x1",192,24,pc,1.00,case,non_food
650,FE153P,FE153P,"FE153P Toilet Brush with handle and case x1",282,1,pc,22.00,pc,non_food
652,P1548P,9556030000000,"P1548P Ajax All Purpose Cleaners Lavander Fresh 1L x1",,,,,pc,food
653,GR109P,GR109P,"GR109P 3M Buffing Pad Red 16"" x1",44,5,pc,1.00,case,non_food
654,FE144P,FE144P,"FE144P Push Brush 12"" with wood handle x1",125,1,pc,10.00,pc,non_food
655,FE032P,FE032P,"FE032P Unbranded Buffer Pad Red 16"" x1",46,5,pc,1.00,case,non_food
656,FE121P,FE121P,"FE121P Paint Brush 1 1/2 x1",428,1,pc,33.00,pc,non_food
658,SS1283P,4800090000000,"SS1283P Rebisco Combi Triple Choco 30g x10",,,,,pc,food
659,MH111P,8850175011408,"MH111P Glade Automatic Spray Ocean Escape Primary 175g x1",40,4,pc,1.00,case,non_food
661,GR136P,4800314032102,"GR136P Scotch Brite Broom Walis Tibay x1",53,1,pc,4.00,pc,non_food
662,FE035P,FE035P,"FE035P Spatula #3 (Putty Knife) x1",578,1,pc,44.00,pc,non_food
663,SS1150P,4902430622080,"SS1150P Downy Premium Parfum Passion 600mL Refill x1",105,1,pc,8.00,pc,non_food
664,P1860P,P1860P,"P1860P Cleanaide Microfiber Blue x1",246,5,pc,4.00,case,non_food
665,SS1331P,4806500000000,"SS1331P Snow Bear Candy Menthol 50s x1",,,,,pc,food
666,P0176P,748486000000,"P0176P Argentina Corned Beef 150g x1",,,,,pc,food
667,P1433P,4806530000000,"P1433P Rite n' Lite Lemon Soda 250mL x1",,,,,pc,food
668,0969P,722776000000,"0969P Splenda No Calorie Sweetener 100g x1",,,,,pc,food
669,TM0112P,,"TM0112P Diversey Shine Up 5L x1",11,1,pc,1.00,pc,non_food
670,PP0001P,PP0001P,"PP0001P Bonita Quarter Fold Table Napkins Virgin Pulp 1 ply 350 sheets x1",221,8,pc,3.00,case,non_food
671,P0687P,,"P0687P Domex Toilet Bowl Cleaner Ultra Thick 500mL x1",157,1,pc,12.00,pc,non_food
672,2074P,2074P,"2074P Liquid Disinfectant Concentrated Gallon x1",22,4,pc,1.00,case,non_food
673,P0087P,4800020000000,"P0087P Pic-A BBQ 180g x1",,,,,pc,food
674,P0943P,4800020000000,"P0943P Nips Chocolate Peanut Deluxe 90g x1",,,,,pc,food
675,08121P,08121P,"08121P Garbage Bag Medium Green 22"" x 24"" x .001 x1",8300,100,pc,7.00,case,non_food
676,SS1306P,4808650000000,"SS1306P Cheez Whiz Plain Bottle 210g x1",,,,,pc,food
677,P1543P,4902430304726,"P1543P Ambi Pur Air Effects Freshener Blossom & Breeze Spray 275g x1",66,1,pc,5.00,pc,non_food
678,1971P,8850720000000,"1971P Lay's Wavy BBQ 50g x1",,,,,pc,food
679,MH133P,9555222606758,"MH133P Mr. Muscle Fresh Discs Starter Citrus 38g x1",105,1,pc,8.00,pc,non_food
680,P1097P,4800047820427,"P1097P Green Cross Isopropyl 70% with Pump 1000mL x1",75,6,pc,1.00,case,non_food
681,SS1332P,4800360000000,"SS1332P Nestle Chuckie 110mL x1",,,,,pc,food
683,P2171P,4800170000000,"P2171P Stik-O Chocolate Wafer Stick 850g x1",,,,,pc,food
684,P0731P,748486000000,"P0731P Argentina Meat Loaf 170g x1",,,,,pc,food
685,SS1154P,4806510000000,"SS1154P Magnolia Pancake Plus with Maple Syrup 200g x1",,,,,pc,food
687,FE199P,FE199P,"FE199P Pranela Big Pink yard x1",206,1,pc,16.00,pc,non_food
688,MH60P,4801230000000,"MH60P Pledge Pronto Liquid Wax 500ml Natural x1",,,,,pc,food
689,SS1273P,4800110000000,"SS1273P Royal Sweet Celebration (Pasta 800 + Spaghetti Sauce 1kg) x1",,,,,pc,food
690,2015P,2015P,"2015P Liquid Hand Soap Dispenser Wall Mount x1",,,,,pc,food
692,SS1066P,748485000000,"SS1066P Century Tuna Hot and Spicy Flakes in Oil 155g x1",,,,,pc,food
693,MH04P,4801230000000,"MH04P Mr. Muscle Mold and Mildew Cleaner Primary 500mL x1",,,,,pc,food
694,MH09P,4801234072612,"MH09P Mr. Muscle Glass Cleaner Primary 500mL x1",97,12,pc,1.00,case,non_food
695,SS0271P,4800888181596,"SS0271P Surf Powder Soap Sunrise Fresh 1.1 kg x1",140,12,pc,1.00,case,non_food
696,MH54P,4801234100018,"MH54P Pledge Metal Polish 150ml x1",79,24,pc,1.00,case,non_food
699,SS0037P,24000010920,"SS0037P Del Monte Fruitcocktail Imported 825g x1",,,,,pc,food
701,10009P,4808890000000,"10009P Axion Dishwashing Paste Lemon Tub 350g x1",,,,,pc,food
702,0384P,4800150000000,"0384P Zim Glass Cleaner Regular 250ml x1",,,,,pc,food
703,SS0186P,4800090000000,"SS0186P Fudgee Bar Dark Chocolate 38g x10",,,,,pc,food
704,SS1269P,8935000000000,"SS1269P Mentos Candy Tropical Mix 50's x1",,,,,pc,food
705,P0364P,4801234071981,"P0364P Mr. Muscle All Purpose Cleaner Lavender 500mL x1",154,24,pc,1.00,case,non_food
707,Z1003P,4801002457818,"Z1003P Lysol Disinfectant Spray Crisp Berry 510g x1",26,12,pc,1.00,case,non_food
709,FE135P,6950266583769,"FE135P Chamois with case x1",218,1,pc,17.00,pc,non_food
710,MH48P,4801234072629,"MH48P Mr. Muscle Glass and Multi Surface Cleaner Refill 500ml x1",145,24,pc,1.00,case,non_food
711,FE128P,FE128P,"FE128P Rectangular Cotton Doormat 2' x 3' x1",294,1,pc,23.00,pc,non_food
712,PR0101P,,"PR0101P Primesol Disinfectant Gallon x1",50,4,pc,1.00,case,non_food
715,P2309P,,"P2309P Tide Perfect Clean Downy Garden Bloom 1220g x1",51,4,pc,1.00,case,non_food
717,04909P,04909P,"04909P Mega Box Storage Box 15L x1",,,,,pc,food
718,TM0110P,,"TM0110P Lysol All-in One Disinfectant Concentrate Pine Scent 1Liter x1",40,1,pc,3.00,pc,non_food
719,SS1354P,4801980000000,"SS1354P Minute Maid Fresh Orange 180mL x1",,,,,pc,food
720,SS1356P,4801670000000,"SS1356P UFC Spaghetti Sauce Supreme Party Pack (Pasta 900g + Sweet Filipino with Parmesan Cheese Sauce 1kg) x1",,,,,pc,food
722,04866P,04866P,"04866P Slatted Box Crate Small x1 (10"" x 12"" x 5"")",,,,,pc,food
723,MH102P,4801230000000,"MH102P Baygon Fly Paper x2",,,,,pc,food
724,P1068P,4800190000000,"P1068P Pillows Chocolate Crackers 24g x1",,,,,pc,food
725,1366P,1366P,"1366P Packaging Plastic 6 x 9.5 x 1.25 x 0.0015 PE Opaque white 3 color 2 side for BNT1677P Prima x1",,,,,pc,food
726,P1317P,8888080000000,"P1317P Meiji Hello Panda Double Choco 35g x1",,,,,pc,food
727,KG0144P,KG0144P,"KG0144P Ettore 55024 Straight Floor Squeegee 24"", Aluminum x1",,,,,pc,food
728,MH121P,4801230000000,"MH121P Baygon Multi Insect Killer Odorless 300mL x1",,,,,pc,food
729,FE126P,FE126P,"FE126P Generic Carpet Stain Remover Gallon x1",64,4,pc,2.00,case,non_food
730,GR119P,GR119P,"GR119P Unbranded Floor Pad 20"" White x",24,5,pc,1.00,case,non_food
731,P1758P,6914970000000,"P1758P M&M Peanut Funsize 175.5g x1",,,,,pc,food
732,FE205P,FE205P,"FE205P Pranela Big Yellow yard x1",175,1,pc,14.00,pc,non_food
733,SS0034P,4800010000000,"SS0034P Summit Spring Water 500mL x1",,,,,pc,food
734,P1995P,4800360000000,"P1995P Milo Activ Go Winner 600g x1",,,,,pc,food
735,SS1217P,4800090000000,"SS1217P Rebisco Sandwich Strawberry 32g x10",,,,,pc,food
736,SS1231P,4806010000000,"SS1231P Super Q Bihon 227g x1",,,,,pc,food
737,FE164P,FE164P,"FE164P Pranela Pink with edging x1",550,1,pc,42.00,pc,non_food
739,SS1223P,4800040000000,"SS1223P Energizer Battery AA x2",,,,,pc,food
740,P1791P,4800360000000,"P1791P Bear Brand Fortified Powdered Milk 840g x1",,,,,pc,food
741,SS1213P,4800090000000,"SS1213P Rebisco Hansel Crackers 32g x10",,,,,pc,food
742,OC0104P,OC0104P,"OC0104P Power Clean Protective Sealer - Supreme Gallon x1",13,4,pc,1.00,case,non_food
743,GR118P,GR118P,"GR118P Unbranded Floor Pad 20"" Green x 1",23,5,pc,1.00,case,non_food
744,P1630P,9556170000000,"P1630P Lay's Stax Extra Cheese 135g x1",,,,,pc,food
745,FE093P,FE093P,"FE093P Mop Head Cotton 500g x1",151,1,pc,12.00,pc,non_food
746,FE068P,FE068P,"FE068P Mop Handle Wood Roscas x1",88,1,pc,7.00,pc,non_food
747,SS0143P,4800010000000,"SS0143P Cream O Chocolate 30g x10",,,,,pc,food
748,08113P,08113P,"08113P Garbage Bag Small Yellow 18"" x 18"" x .001 x1",7500,100,pc,6.00,case,non_food
749,SS0059P,4800067601747,"SS0059P Gleam Muriatic Acid 500mL x1",221,24,pc,1.00,case,non_food
750,TM0116P,,"TM0116P Diversey Suma Calc 5L x1",10,1,pc,1.00,pc,non_food
751,SS0118P,4800020000000,"Jack 'n Jill Chippy BBQ Red 27g x1",,,,,pc,food
752,0471P,0471P,"0471P Packaging Plastic Calypso 7 x 12 0.0004 no print x1",,,,,pc,food
753,P1350P,731126000000,"P1350P Nagaraya Garlic Cracker Nuts 80g x1",,,,,pc,food
754,0543P,748485000000,"0543P Century Tuna Flakes in Oil 180g x1",,,,,pc,food
755,P0161P,4800580000000,"P0161P Alaska Evaporada 370mL x1",,,,,pc,food
757,FE141P,FE141P,"FE141P Doormat Oval x1",219,1,pc,17.00,pc,non_food
758,P0241P,4800020000000,"P0241P Dynamite Blue Candy x50",,,,,pc,food
759,SS1437P,4800820000000,"SS1437P Frutos Soft Chewy Candy x50",,,,,pc,food
760,0919P,4800360000000,"0919P Nescafe Classic Instant Coffee Sticks 2g x48",,,,,pc,food
761,SS1694P,34800000000000,"SS1694P Energizer Batterry AA x4",,,,,pc,food
766,0498P,0498P,"0498P Plastic Broom with Plastic Dustpan Set x1",74,1,pc,6.00,pc,non_food
767,FE155P,FE155P,"FE155P Toilet Pump Big x1",179,1,pc,14.00,pc,non_food
768,MH117P,4801234165512,"MH117P Mr. Muscle Toilet Bowl Cleaner Citrus Scent 500mL x1",106,1,pc,8.00,pc,non_food
769,P1444P,4893050000000,"P1444P Chips Ahoy Cookies 266g x1",,,,,pc,food
770,SS1287P,8996000000000,"SS1287P Fres Candy Cherry 3g x50",,,,,pc,food
771,MH15P,4801230000000,"MH15P Baygon Multi-Insect Killer Waterbased 300mL x1",,,,,pc,food
772,P1480P,4800140000000,"P1480P Maya Hotcake Mix 500g x1",,,,,pc,food
773,GR129P,48011140025,"GR129P 3M Stainless Steel Cleaner 600g x1",,,,,pc,food
774,P1066P,4800580000000,"P1066P Krem-Top Coffee Creamer 250g x1",,,,,pc,food
776,0346P,,"0346P Interfolded Paper Towel Virgin Pulp 175 pulls 30gsm x1",300,30,pc,1.00,case,non_food
777,P1795P,1200110000000,"P1795P Lay's Sour Cream & Onion 170g x1",,,,,pc,food
779,GR111P,GR111P,"GR111P 3M Microfiber Cloth Purple x10",15,5,pc,1.00,case,non_food
780,FE090P,FE090P,"FE090P Wax Stripper Gallon x1",42,1,pc,4.00,pc,non_food
782,P1022P,4800020000000,"P1022P Del Monte Creamy and Cheese Spaghetti Sauce 500g x1",,,,,pc,food
783,P1071P,4800250000000,"P1071P San Marino Corned Tuna 85g x1",,,,,pc,food
784,FE059P,FE059P,"FE059P Disposable Plastic Gloves x100",205,1,pc,16.00,pc,non_food
787,1372-INP,1372-INP,"1372-INP IN House for BNTY0308 Sulit x1",,,,,pc,food
788,SS0163P,8996000000000,"SS0163P Fres Mint Barley 3g x50",,,,,pc,food
789,P0982P,8850180000000,"P0982P Glade Automatic Spray 3in1 Lavender and Vanilla Scent 175g Primary x1",,,,,pc,food
790,P2148P,,"P2148P Downy Garden Bloom Pouch 660mL x1",64,8,,1.00,case,non_food
791,Y0349P,Y0349P,"Y0349P Hand Roll Tissue MG 1ply 200m x1",60,12,pc,1.00,case,non_food
792,P1115P,4804890000000,"P1115P Zesto Juice Drink 200ml Regular x1",,,,,pc,food
793,P0697P,4800130000000,"P0697P Biogenic Alcohol Isopropyl Spray 70% 330ml x1",,,,,pc,food
794,MH68P,9555220000000,"MH68P Glade Sensation Bathroom Lavender 8g x1",,,,,pc,food
795,P2084P,,"P2084P Tide Detergent Powder 1160g x1",36,1,,3.00,pc,non_food
796,SS1291P,4800020000000,"SS1291P XO Caramel Candy x50",,,,,pc,food
797,FE301P,FE301P,"FE301P Dust Mop with Aluminum handle 36"" x1",,,,,pc,food
798,0956P,4800020000000,"0956P Today's Fruit Cocktail 432g x1",,,,,pc,food
799,MH135P,,"MH135P Glade Scented Gel Morning Freshness 180g x1",60,12,pc,1.00,case,non_food
800,SS1210P,4806500000000,"SS1210P Champion Supra Clean Original 2kg x1",,,,,pc,food
801,BC145P,BC145P,"BC145P Non-Bio Ziptie Garbage Bag Natural Medium 22"" x 24"" x20",400,50,pc,1.00,case,non_food
802,P2117P,34000134113,"P2117P Hershey's Kisses Classic Milk Chocolate 150g x1",,,,,pc,food
803,P1743P,4800360000000,"P1743P Milo Cereals 170g x1",,,,,pc,food
805,FE249P,FE249P,"FE249P Rubber Gloves Makapal XL pair x1",138,1,pc,11.00,pc,non_food
806,P2198P,8991000000000,"P2198P Delfi Treasure Golden Almond 36g x1",,,,,pc,food
807,0377P,4800150000000,"0377P Zim Glass Cleaner Lemon With Spray 500mL x1",,,,,pc,food
808,P2098P,4800520000000,"P2098P Tomi Super Sweet Corn 25g x1",,,,,pc,food
809,P0719P,7622200000000,"P0719P Toblerone Mini 200g x1",,,,,pc,food
810,SS1261P,8996000000000,"SS1261P Kopiko Candy Coffeeshot Coffee 175g x1",,,,,pc,food
811,MH71P,4801234074029,"MH71P Mr. Muscle Stick on Toilet Bowl Cleaning Strip Lavender Scent 10g x3",129,24,pc,1.00,case,non_food
812,P2222P,4902430000000,"P2222P Ambi Pur Car Freshener Lavender Scent Mini Clip 2.2 mL x1",,,,,pc,food
816,KG0148P,KG0148P,"KG0148P RCP 9S09-25 Stable Safety Sign with Wet Floor Symbol, Yellow x1",,,,,pc,food
823,SS1214P,4800090000000,"SS1214P Rebisco Sandwich Choco 32g x10",,,,,pc,food
824,BC211P,BC211P,"BC211P Biodegradable Garbage Bag XL Black 30"" x 37"" x10",,,,,pc,food
825,SS1669P,4806530000000,"SS1669P Rite 'n Lite Cucumber in can 250mL x1",,,,,pc,food
826,P0784P,70177086664,"P0784P Twinings Pure Green Tea 50g x25",,,,,pc,food
828,P0789P,4800070000000,"P0789P Gleam Liquid Sosa 250mL x1",,,,,pc,food
829,SS1574P,4803930000000,"SS1574P Gatorade Blue Bolt 350mL x1",,,,,pc,food
830,1373P,1373P,"1373P Packaging Plastic 12 + 4 tbg x 10 1/2 x .0015 PE for BNTY1662 IFPT x1",,,,,pc,food
833,FE202P,FE202P,"FE202P 3M Polishing Pad 20"" White x1",,,,,pc,food
834,P1327P,4800170000000,"P1327P Junior Stik-O Chocolate 380g x1",,,,,pc,food
835,P1019P,4800020000000,"P1019P Del Monte Spaghetti Pasta 400g + Del Monte Spaghetti Sauce Filipino Style 500g x1",,,,,pc,food
836,P1920P,4800040000000,"Fibisco Butter Cookies 70g x1",,,,,pc,food
837,P0301P,9321780000000,"P0301P Equal Sweetener x100",,,,,pc,food
842,SS1196P,4800020000000,"SS1196P Piattos Roadhouse Barbecue 85g x1",,,,,pc,food
843,P1462P,4800010000000,"P1462P Delimondo Garlic and Chili Corned Beef 260g x1",,,,,pc,food
844,P1453P,4800050000000,"P1453P Del Fabric Softener with Fragrance Pearls Shower Fresh 1000ml x1",,,,,pc,food
845,P1562P,8801060000000,"P1562P Lotte Pepero Snowy Almond 32g x1",,,,,pc,food
846,P0805P,4800270000000,"P0805P Quaker Mini Oats Cookies 28g x1",,,,,pc,food
848,SS1662P,4800500000000,"SS1662P Hermano Refined Sugar 500g x1",,,,,pc,food
849,P2272P,4800150000000,"P2272P Zim Cleaning Pads Scrub Pad Sulit Size Medium x1",,,,,pc,food
850,08158P,08158P,"08158P Garbage Bag XXL Black 37'' x 40"" x 0.0015 x1",1300,100,pc,1.00,case,non_food
852,P0118P,4800250000000,"P0118P CDO Nata de Coco White 12oz",,,,,pc,food
853,1551P,4800067600283,"1551P Albatross Sampaguita Refill 50g x1",227,12,pc,2.00,case,non_food
854,FE165P,FE165P,"FE165P Pranela Yellow with edging x1",305,1,pc,23.00,pc,non_food
855,P1662P,9321780000000,"P1662P Equal Classic Sweetener 1g x50",,,,,pc,food
857,SS0248P,4800190000000,"SS0248P Oishi Bread Pan Buttered Toast 42g x1",,,,,pc,food
858,P1775P,8992800000000,"P1775P Fitbar Fruits 24g x1",,,,,pc,food
860,SS1500P,4804890000000,"SS1500P Zesto Juice Drink Apple 200mL x1",,,,,pc,food
861,SS0971P,4804890000000,"SS0971P Zesto Orange Juice 200mL x1",,,,,pc,food
862,SS1421P,4800020000000,"SS1421P Jack 'n Jill Hello! Vanilla-Coated Wafer Sandwich 150g x10",,,,,pc,food
863,SS1266P,4809010000000,"SS1266P Boy Bawang Cornick Garlic 90g x1",,,,,pc,food
864,FE252P,FE252P,"FE252P Baby Paper Plates Silver x25",249,20,pc,1.00,case,non_food
865,P2205P,4806510000000,"P2205P Splenda Furniture Polish Lemon 330mL x1",,,,,pc,food
866,BC153P,BC153P,"BC153P Biodegradable Ziptie GB Natural Large 26"" x 32"" x10",200,20,pc,1.00,case,non_food
867,FE020P,FE020P,"FE020P Toilet Pump Small x1",124,1,pc,10.00,pc,non_food
868,SS1681P,806505000000,"SS1681P Mega Sardines Tomato 155g x1",,,,,pc,food
869,SS1706P,8998670000000,"SS1706P Kopiko Blanca Twin Pack 58g x10",,,,,pc,food
870,1055P,4902430000000,"1055P Joy Dishwashing Liquid Kalamansi 780mL x1",,,,,pc,food
874,SS1093P,4800050000000,"SS1093P Nature's Spring Water 500mL x1",,,,,pc,food
875,BC185P,BC185P,"BC185P Biodegradable Ziptie Garbage Bag Natural XXL 37"" x 40"" x10",,,,,pc,food
877,BC154P,BC154P,"BC154P Biodegradable Ziptie GB Natural XL 30"" x 37"" x10",,,,,pc,food
879,FE226P,FE226P,"FE226P Sulit Fork White x25",231,1,pc,18.00,pc,non_food
880,04925P,04925P,"04925P Magic Mop x1",30,1,pc,3.00,pc,non_food
881,SS0241P,4800250000000,"SS0241P CDO Karne Norte 100g x1",,,,,pc,food
882,Z1013P,9556111408064,"Z1013P Lysol D. Spray Crisp Linen 170g x1",27,12,pc,1.00,case,non_food
883,OC0108P,,"OC0108P Power Clean Solution Multi Purpose Cleaner Gallon x1",28,4,pc,1.00,case,non_food
886,2028P,2028P,"2028P Body Wash Garden of Lavander Gallon x1",22,4,pc,1.00,case,non_food
887,SS0939P,4807770000000,"SS0939P Lucky Me Supreme LaPaz Batchoy 70g x1",,,,,pc,food
889,P0726P,4800020000000,"P0726P Jack 'n Jill Hello! Chocolate Choco-Coated Wafer Sandwich 150g x10",,,,,pc,food
891,P1903P,,"P1903P Surf Detergent Powder Kalamansi 2.2kg x1",26,4,pc,1.00,case,non_food
892,P1930P,4806020000000,"P1930P Lemon Square Whatta Tops Chocolate Cupcake 35g x10",,,,,pc,food
893,04923P,04923P,"04923P Manual Liquid Soap Dispenser 1000mL x1",,,,,pc,food
894,FE177P,FE177P,"FE177P Air Freshener Lemon Scent Gallon x1",40,4,pc,1.00,case,non_food
895,P1818P,4902430627528,"P1818P Downy Antibac Fabric Conditioner Refill 690mL x1",40,8,pc,1.00,case,non_food
896,P1908P,4806020000000,"P1908P Lemon Square Assorted Flavor 30g x10",,,,,pc,food
898,SS1330P,4800020000000,"SS1330P Jack 'n Jill Maxx Cherry Mentol Candy 50's x1",,,,,pc,food
899,SS1705P,,"SS1705P Pride Powder Washing Machine (Light Blue) 40g x1",1500,1,pc,113.00,pc,non_food
900,P2082P,8993180000000,"P2082P Richeese Cheese 48g x1",,,,,pc,food
901,SS0142P,4800020000000,"SS0142P Nissin Cup Noodles Batchoy 60g x1",,,,,pc,food
902,08140P,08140P,"08140P Garbage Bag XXL Clear 37"" x 40"" x .0015 x1",900,100,pc,1.00,case,non_food
903,04981P,04981P,"04981P Heavy Duty Plastic Broom with Plastic Dustpan Set x1",13,1,pc,1.00,pc,non_food
904,SS1403P,4800010000000,"SS1403P Dole Pineapple Chunks 227g x1",,,,,pc,food
905,FE054P,FE054P,"FE054P Plastic Laundry Brush x1",193,1,pc,15.00,pc,non_food
906,P1854P,1200110000000,"P1854P Ruffles Cheddar & Sour Cream 170g x1",,,,,pc,food
907,1374P,1374P,"1374P Packaging Plastic 10 x 16 3/4 + 5 tbg x .0015 PE for BNTY0309P Pre cut x1",,,,,pc,food
909,P1633P,7614500000000,"P1633P Toblerone Milk Chocolate Bar 200g x1",,,,,pc,food
910,SS1360P,4800220000000,"SS1360P Clover Chips Cheese 55g x1",,,,,pc,food
912,P1843P,,"P1843P Joy Dishwashing Liquid Kalamansi Refill 540mL x1",42,3,pc,2.00,case,non_food
913,P1918P,6924740000000,"P1918P Doritos Smokin' BBQ 65g x1",,,,,pc,food
915,P2383P,,"P2383P Albatross Apple with Holder 100g x1",94,12,pc,1.00,case,non_food
916,0165P,0165P,"0165P Twin Flying Horse Disposable Plastic Cups 8oz x50",240,20,pc,1.00,case,non_food
917,FE273P,FE273P,"FE273P Generic Polisher Nylon Brush 16"" x1",8,1,pc,1.00,pc,non_food
918,P0309P,3400249862,"P0309P Hersheys Chocolate 43g x1",,,,,pc,food
922,FE234P,FE234P,"FE234P Sulit Spoon x25",205,100,pc,1.00,case,non_food
923,0529P,4801980000000,"0529P Sprite Regulat PET Bottle 1.5L x1",,,,,pc,food
924,08122P,08122P,"08122P Garbage Bag Small Green PE 18"" x 18"" x .001 x1",4000,100,pc,3.00,case,non_food
925,P1522P,722776000000,"P1522P Splenda No Calorie Sweetener 1.7oz x50",,,,,pc,food
926,P1210P,4807770000000,"P1210P Lucky Me Instant Pancit Canton Sweet & Spicy 80g x1",,,,,pc,food
927,P1320P,4800360000000,"P1320P Nestle Bear Brand Powdered Milk 1200g x1",,,,,pc,food
928,P2279P,4800020000000,"P2279P Jack 'N Jill Vcut Potato Chips Cheese 25g x1",,,,,pc,food
930,FE191P,FE191P,"FE191P Window Squeegee 8"" w/ foam and handle (ordinary,china) x1",,,,,pc,food
931,P0071P,95502489,"P0071P Nestle Kitkat 2F 17g x1",,,,,pc,food
932,SS1440P,,"SS1440P Surf Detergent Powder Blossom Fresh 1.1kg x1",51,12,pc,1.00,case,non_food
