"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
95,P2096P,4800090000000,"P2096P Choco Mucho Chocolate 30g x1",,,,,pc,food
96,P0553P,80135906,"P0553P Ferrero Rocher T5 Box 62.50g x1",,,,,pc,food
97,MH96P,4801234072124,"MH96P Mr. Muscle Mold And Mildew Refill 500ml x1",2622,12,pc,17.00,case,non_food
98,1034P,4902430304733,"1034P Ambi Pur Air Freshener LV & C 275g x1",1673,6,pc,21.00,case,non_food
99,SS1535P,4800040000000,"SS1535P Ricoa Flat Tops Chocolate 10's x1",,,,,pc,food
100,BC170P,BC170P,"BC170P Non-Bio Ziptie Garbage Bag Natural XXL 37' x 40' x10",7480,20,pc,29.00,case,non_food
103,Y0350P,Y0350P,"Y0350P Kitchen Towel Virgin Pulp 2 ply x 85 pulls 170 sheets x1",10128,24,pc,32.00,case,non_food
104,0186P,0186P,"0186P Paper Cups White 6.5oz x50",9780,20,pc,37.00,case,non_food
105,2014P,2014P,"2014P Liquid Hand Soap Strawberry with moisturizer Gallon x1",2090,4,pc,40.00,case,non_food
106,P1846P,4800360000000,"P1846P Nescafe Coffee Classic Refill 185g x1",,,,,pc,food
107,08504P,4800500000000,"08504P Hermano Washed Sugar 1kg x1",,,,,pc,food
108,BC134P,BC134P,"BC134P Ziptie Garbage Bag Natural Small 18"" x 20"" x20",21800,50,pc,33.00,case,non_food
109,MH08P,9555222601463,"MH08P Glade Air Freshener Lavender 320mL x1",1712,12,pc,11.00,case,non_food
110,1056P,4987176160645,"1056P Joy Dishwashing Liquid Lemon Refill 540mL x1",2335,3,pc,59.00,case,non_food
111,0166P,7914501581407,"0166P Wooden Coffee Stirrer 5"" x1000",1272,10,pc,10.00,case,non_food
112,2022P,2022P,"2022P Liquid Hand Soap Lemon Gallon x1",2043,4,pc,39.00,case,non_food
113,04904P,9557601130168,"04904P Great Gloves Disposable Small x100",790,10,pc,6.00,case,non_food
114,2012P,2012P,"2012P All Purpose Liquid Cleaner Yellow Gallon x1",2170,4,pc,41.00,case,non_food
115,1552P,4800067600108,"1552P Albatross Lemon Refill 50g x1",9438,12,pc,59.00,case,non_food
116,GR113P,GR113P,"GR113P Microfiber Cloth Blue x1",4470,50,pc,7.00,case,non_food
117,P2392P,,"P2392P Tide Detergent Powder Original Scent 1500kg x1",1150,4,pc,22.00,case,non_food
119,SF0104P,SF0104P,"SF0104P Garbage Bag XL Black PE 30"" x 37"" .001 x1",89600,100,pc,68.00,case,non_food
120,P1589P,4806513691003,"P1589P Solbac Disinfectant Spray Fresh Linen 400g x1",828,12,pc,6.00,case,non_food
122,2043P,2043P,"2043P Liquid Hand Soap Lavender Scent Gallon x1",2006,4,pc,38.00,case,non_food
123,SS0130P,4800010000000,"SS0130P Cream O Vanila 30g x10",,,,,pc,food
124,Z1014P,9556111408071,"Z1014P Lysol Disinfectant Spray Crisp Linen 340g x1",673,12,pc,5.00,case,non_food
125,0596P,4800888112996,"0596P Domex Multi-Purpose Cleaner Lemon Fresh 500mL x1",2903,24,pc,10.00,case,non_food
126,SS0181P,4800250000000,"SS0181P CDO Kaong Red 340g x1",,,,,pc,food
127,08111P,4809013751567,"08111P Garbage Bag XL Black PE 30 x 37 x .001 x1",83300,100,pc,63.00,case,non_food
128,Y0351P,Y0351P,"Y0351P Jumbo Roll Tissue MG Plus 2 ply 200m x1",5748,12,pc,36.00,case,non_food
129,SS1129P,4800250000000,"SS1129P San Marino Corned Tuna 150g x1",,,,,pc,food
130,04903P,,"04903P Great Gloves Disposable Medium x100",782,10,pc,6.00,case,non_food
131,P1003P,5762390000000,"P1003P Tulip Pork Luncheon Meat 12oz (340g) x1",,,,,pc,food
133,Q0103P,Q0103P,"Q0103P Interleave Virgin Pulp 2-ply x 200 pulls 400 sheets x1",18730,60,pc,24.00,case,non_food
134,GR107P,GR107P,"GR107P 3M Microfiber Cloth Green x1",3853,50,pc,6.00,case,non_food
136,TM0102P,TM0102P,"TM0102P Diversey Complete Wax 5L x1",91,2,pc,4.00,case,non_food
137,P0964P,8886470000000,"P0964P Pringles Original 107g x1",,,,,pc,food
138,SS0976P,4807770000000,"SS0976P Monde Mamon Classic 43g x6",,,,,pc,food
139,SS1478P,4800040000000,"SS1478P Fibisco Cookies Choco Chip 4s 36g x1",,,,,pc,food
140,P0633P,80051671,"P0633P Nutella Choco Spread 200g x1",,,,,pc,food
141,Q0110P,Q0110P,"Q0110P Pingcon Interfolded Paper Towel Regular 1ply 175 pulls x1",9240,30,pc,24.00,case,non_food
142,P0413P,8886470000000,"P0413P Pringles Original 42g x1",,,,,pc,food
143,04880P,04880P,"04880P Glomed Surgical Latex Gloves Large x100",552,10,pc,5.00,case,non_food
144,SS0132P,9556111980720,"SS0132P Lysol Disinfectant Spray Citrus Meadows 510g x1",476,12,pc,3.00,case,non_food
145,SS1454P,,"SS1454P Tide Detergent Powder Original Scent 1.19kg x1",902,4,pc,17.00,case,non_food
146,P2293P,4800250000000,"P2293P Danes Quezo De Bola 500g x1",,,,,pc,food
147,P0692P,8934868115717,"P0692P Domex Toilet Cleaner Ultra Thick Bleach 900ml x1",1531,12,pc,10.00,case,non_food
148,P1896P,9322210000000,"P1896P Yellow Tail Joey Shiraz 21' 187mL x1",,,,,pc,food
149,P1531P,4800020000000,"P1531P Dewberry Blueberries 'n Cream 33g x10",,,,,pc,food
150,SF0106P,SF0106P,"SF0106P Garbage Bag Large Black 26"" x 32"" x .001 x1",81600,100,pc,62.00,case,non_food
151,P1728P,4800040000000,"P1728P Fibisco Choco Crunchies 200g x1",,,,,pc,food
152,08107P,08107P,"08107P Garbage Bag Medium Clear 22"" x 24"" x .001 x1",118100,100,pc,89.00,case,non_food
153,P2369P,4987176280756,"P2369P Downy Sunrise Fresh 750mL x1",1474,8,pc,14.00,case,non_food
154,KS005P,,"KS005P Interfolded Paper Towel Virgin Pulp 1 ply 150 pulls x1",9570,30,pc,24.00,case,non_food
155,SS0184P,4800360000000,"SS0184P Bear Brand Powdered Milk 700g x1",,,,,pc,food
156,FE291P,FE291P,"FE291P Diamond Sealer Finish Wax Gallon x1",268,4,pc,6.00,case,non_food
157,SS0252P,4800020000000,"SS0252P Jack n Jill Pic-A Ultimate Cheddar Snack mix 90g x1",,,,,pc,food
158,P1293P,8850720000000,"P1293P Lays Stax Original 105g x1",,,,,pc,food
159,P1431P,1200110000000,"P1431P Lay's Original Potato Chips 50g x1",,,,,pc,food
160,SS1218P,4800090000000,"SS1218P Rebisco Hansel Mocha 31g x10",,,,,pc,food
161,P0184P,4800890000000,"P0184P Lady's Choice Mayonaise Doy Pack 220mL x1",,,,,pc,food
162,2124P,4800047820458,"2124P Green Cross Isophrophyl Alcohol with Moisturizer 70% Gallon x1",389,3,pc,10.00,case,non_food
163,SS1481P,4893050000000,"SS1481P Oreo Vanilla Sandwich Cookies 27.6g x9",,,,,pc,food
164,P1432P,6924740000000,"P1432P Doritos Nacho Cheese 65g x1",,,,,pc,food
166,2034P,2034P,"2034P Liquid Hand Soap Green Apple Scent Gallon x1",1378,4,pc,26.00,case,non_food
167,P1765P,9556180000000,"P1765P Cadbury Dairy Milk Chocolate 62g x1",,,,,pc,food
168,P0983P,8850175010418,"P0983P Glade Automatic Spray Lavender & Vanilla 3in1 Refill x1",703,6,pc,9.00,case,non_food
170,P1771P,59631896391,"P1771P Lysol Disenfectant Spray Crisp Linen 539g x1",394,12,pc,3.00,case,non_food
171,P1466P,9300620000000,"P1466P Cadbury Chocolate 30g x1",,,,,pc,food
172,SS1201P,4800020000000,"SS1201P Dewberry Strawberries 'n Cream 33g x10",,,,,pc,food
173,04899P,04899P,"04899P Great Gloves Disposable Large x100",414,10,pc,4.00,case,non_food
174,FE018P,FE018P,"FE018P Toilet Bowl Cleaner Gallon x1",1008,4,pc,19.00,case,non_food
175,P1039P,4800010000000,"P1039P Delimondo Ranch Style Corned Beef 380g x1",,,,,pc,food
176,SS1741P,4800190000000,"SS1741P Oishi Popcorn Caramel 60g x1",,,,,pc,food
177,FE109P,FE109P,"FE109P 3M Microfiber Cloth Yellow x1",2600,50,pc,4.00,case,non_food
178,P0169P,4806010000000,"P0169P Doña Elena Pure Olive Oil 250mL x1",,,,,pc,food
180,SS1063P,4800020000000,"SS1063P Great Taste Coffee Premium 50g x1",,,,,pc,food
181,P0406P,4800580000000,"P0406P Alaska Crema 250mL x1",,,,,pc,food
183,P0097P,7614500000000,"P0097P Toblerone 100g x1",,,,,pc,food
185,P1508P,4902430355193,"P1508P Downy Passion Fabric Conditioner Refill 1.2L x1",559,6,pc,7.00,case,non_food
188,P1653P,6942840000000,"P1653P Hershey's Milk Chocolate 40g x1",,,,,pc,food
189,FW001P,FW001P,"FW001P Falcon Velocity Cartridge Filter with Sealant x1",109,1,pc,9.00,pc,non_food
190,TM0114P,,"TM0114P Diversey Go Getter 5L x1",120,2,pc,5.00,case,non_food
191,P0981P,4800020000000,"P0981P Del Monte Pineapple Juice 1L x1",,,,,pc,food
192,1673P,1673P,"1673P Facial Tissue Unwrapped Premium Grade 2 ply 75 pulls white off white x1",11334,72,pc,12.00,case,non_food
193,SS1423P,4800010000000,"SS1423P Presto Cream Peanut Butter 30g x10",,,,,pc,food
194,SS1199P,4800010000000,"SS1199P Absolute Distilled Water 8L x1",,,,,pc,food
195,P2378P,4902430245012,"P2378P Downy Sunrise Fresh Refill 1.5L x1",506,6,pc,7.00,case,non_food
196,FE183P,FE183P,"FE183P Utility Belt Bag x1",989,1,pc,75.00,pc,non_food
197,2021P,2021P,"2021P Liquid Hand Soap Baby Blossom with moisturizer gallon x1",967,4,pc,19.00,case,non_food
198,1575P,4800067600382,"1575P Albatross Lemon Refill 100g x1",2832,12,pc,18.00,case,non_food
199,SS1108P,4800360000000,"SS1108P Nestle Non Fat Milk 1L x1",,,,,pc,food
200,08104P,4809013751550,"08104P Garbage Bag Large Black 26 x 32 x .001 x1",56600,100,pc,43.00,case,non_food
201,FE033P,FE033P,"FE033P Dust Mop with handle 36"" x1",181,1,pc,14.00,pc,non_food
202,MH31P,4801234108236,"MH31P Baygon Multi Insect Killer Waterbased 600mL x1",394,12,pc,3.00,case,non_food
203,FE110P,FE110P,"FE110P 3M Microfiber Cloth Purple x1",2326,50,pc,4.00,case,non_food
204,GR108P,GR108P,"GR108P 3M Microfiber Cloth Red x1",2287,50,pc,4.00,case,non_food
205,P1629P,8935000000000,"P1629P Mentos Candy Mint 100's x1",,,,,pc,food
206,0541P,4800020000000,"0541P Nissin Cup Noodles Seafood Mini 40g x1",,,,,pc,food
207,FE099P,32611121126,"FE099P Window Squeegee 12"" x1",264,1,pc,20.00,pc,non_food
208,P2132P,4808890000000,"P2132P Purefoods Sizzling Sisig 150g x1",,,,,pc,food
209,SS0187P,4800020000000,"SS0187P Piattos Cheese Small 40g x1",,,,,pc,food
211,SS1576P,4801980000000,"SS1576P Minute Maid Fresh Apple 180mL x1",,,,,pc,food
212,P0086P,4800020000000,"P0086P Granny Goose Tortillos Cheese 160g x1",,,,,pc,food
213,FREIGHT,FREIGHT,FREIGHT,,,,,pc,food
214,0526P,750515000000,"0526P SkyFlakes Biscuit Original 25g x10",,,,,pc,food
216,Q0105P,Q0105P,"Q0105P Intefolded Paper Towel VP 1ply 175 pulls x1",5070,30,pc,13.00,case,non_food
217,SS0013P,4800010000000,"SS0013P Summit Spring Water 350mL x1",,,,,pc,food
218,FE130P,FE130P,"FE130P Mop Aluminum Handle Plastic Head Yellow x1",339,1,pc,26.00,pc,non_food
219,Z1033P,9556111996097,"Z1033P Lysol Disinfectant Multi-Action Cleaner Lavender 900ml x1",750,12,pc,5.00,case,non_food
