SKU,Description,Unit,Week 1 Qty,Week 2 Qty,Week 3 Qty,Week 4 Qty,Total Qty
MH07P,Glade Air Freshener 320mL Lemon x 12,pcs,0,192,0,0,192
MH28C,Baygon Protector Multi-Insect Killer Citrus Scent 500mL x 12,case,0,0,30,0,30
P0082P,Mr. Muscle Stick on Toilet Bowl Cleaning Strip Citrus Scent 10g x3,pcs,0,0,0,120,120
P0306P,Lysol Disinfectant Spray Scent 538g,pcs,100,0,0,0,100
P0308P,Lysol Disinfectant Spray Scent 538g,pcs,320,0,0,0,320
P0308P,Lysol Spray C. Linen 538g x 1,pcs,0,0,552,0,552
P0368C,Absolute Water 350mL x 35,case,0,0,441,0,441
P0670C,Downy Sunrise Big size 4L x 3,case,4,0,0,0,4
P0688P,Zim Cleaner Fresh Scent 350g canister x 1,packs,6,0,0,0,6
P2147P,Downy Sunrise Fresh Pouch 660mL x1,pcs,0,0,0,112,112
P2148P,Downy Garden Bloom Pouch 660mL x1,pcs,0,0,0,56,56
P2148P,Downy Garden Bloom Pouch 750mL x1,pcs,0,0,0,160,160
P2380P,Aromatic Solution Fresh Bamboo 500mL x1,pcs,0,0,0,15,15
SF0101C,"Garbage Bag Black 37"" x 40"" x .001 XXL x 100",case,0,150,0,0,150
SF0101P,"Garbage Bag Black 37"" x 40"" x .001 XXL x 100",case,0,500,0,0,500
SF0104P,"Garbage Bag XL Black PE 30"" x 37"" .001 100's",case,0,0,900,0,900
SF0104P,Garbage Bag XXL Black 37' x 40' x .001 100 pcs/case,case,50,0,0,0,50
SF0105C,"Garbage Bag XXL Clear 37"" x 40"" x .001 100's",case,0,500,50,0,550
SF0105P,"Garbage Bag XXL Clear 37"" x 40"" x .001 100's",case,0,50,0,0,50
SF0106P,"Garbage Bag Large Black 26"" x 32"" x .001 100 pcs",case,0,0,0,950,950
SF0107C,Garbage Bag Small Clear 100 pcs per bag,case,0,0,100,0,100
SF0107P,Garbage Bag Small Clear 100 pcs per bag,case,0,170,0,0,170
SF0108P,"Garbage Bag Medium Clear 22"" x 24"" x .001 100 pcs per case",case,0,180,50,0,230
SF0109C,"Garbage Bag Small Black 18"" x 18"" x .001 100pcs/case",case,0,350,0,0,350
SF0109P,"Garbage Bag Small Black 18"" x 18"" x .001 100pcs/case",case,0,170,0,0,170
SF0111C,"Garbage Bag Large Clear 26"" x 32"" x .001 100 pcs per bag",case,0,0,0,50,50
SF0111P,"Garbage Bag Large Clear 26"" x 32"" x .001 100 pcs per bag",case,0,100,0,0,100
SF0112C,"Garbage Bag XL Clear 30"" x 37"" x .0010 100 pcs per case",case,0,340,0,0,340
SF0113P,"Garbage Bag Medium Black 22"" x 24"" x .001 100 pcs per bag",case,0,400,0,0,400
SS0012C,Surf Powder Kalamansi 1.1kg x 12,case,24,0,0,0,24
SS0064C,Axion Paste Lemon 350g x 24 (with canister),case,0,0,0,20,20
SS0077C,Axion Dishwashing Paste Lemon Refill 350g x 36,case,0,30,0,0,30
SS0209C,Albatross Strawberry Refill 100g x 12,case,3,0,0,0,3
SS0215C,Albatross Sampaguita Refill 100g x 12,case,0,24,0,0,24
SS0264C,C2 Green Tea Apple Solo 230ml x 24,case,30,0,0,0,30
SS0896C,Downy Passion bottle 900ml x 12,case,10,0,0,0,10
SS0896P,Downy Passion Bottle 800mL x1,case,5,0,0,0,5
SS0970C,Albatross Jasmin Refill 100g x 12,Case,21,0,0,0,21
SS1318P,Joy Dishwashing Liquid Lemon Bottle 475mL x1,pcs,0,0,0,109,109
VA001C,Glad Cling Wrap 30m x 30cm x 24,case,0,5,0,0,5
Y0320P,Interfolded Paper Towel Dispenser White Small x1,pcs,0,4,0,0,4
Z1014P,Lysol D. Spray C. Linen Scent 340g x 12,case,0,0,0,13,13
Z1015P,Lysol Disinfectant Spray Crisp Linen 510g x1,pcs,1080,0,0,0,1080
Z1018P,Lysol D. Spray Early Morning Breeze 510g x1,pcs,240,0,0,0,240
Z1024P,Lysol Disinfectant Spray Fresh blossom 510g x1,pcs,360,0,0,0,360
,Air Freshener Strawberry,pcs,0,10,0,0,10
,Ambi Pur Air Freshener LV & C 275g x 6,pcs,360,0,0,0,360
,Glade Air Freshener 320mL x 12 wild lavander,pcs,0,192,0,0,192
,Glade Scented GEL Lemon 200mL x 24(change packaging to 180ml)Twin pack,case,0,0,5,0,5
,Joy Dishwashing Liquid Lemon (bottle)780mL x 16,pcs,80,0,0,0,80
,Lysol D. Spray Early Citrus Maeadows 510g x1,pcs,96,0,0,0,96
,Lysol D. Spray Morning Breeze Scent 340g x 12,case,0,0,0,3,3
,Tide Powder 625g,pcs,0,120,0,0,120
